h,POROSITY,K,k/uob,Sw,T,API,PI,Bp,Pep,Pb/Pa,Uoi,Ubp,Uoa,Uw,Rsi,Rsb,Rsa,Bol,Bob,Boa,OOIP,Type,REC
8,0.298,106,183.75,0.5,152,33,2636,1500,1900,1.39,1.6,1.6,1.5,0.464,285,285,285,1.15,1.15,1.155,1007,4,696
15,0.282,562,728.05,0.307,208,35,4889,4889,3500,1.4,0.44,0.44,0.57,0.354,1000,1000,670,1.151,1.151,1.351,1000,4,598
7,0.274,236,25570,0.405,183,49,3775,795.1,3200,1.18,0.16,0.16,0.16,0.418,1960,1960,1080,2.196,2.196,2.204,535,4,219
17,0.22,326,289.78,0.2,226,40.5,5896,2000,2700,2.18,0.45,0.45,0.4,0.303,575,575,575,1.35,1.35,1.4,1015,4,334
13.3,0.35,1900,2137.5,0.28,182,40.4,2205,2174,1785,1.24,0.48,0.48,0.54,0.405,459,459,388,1.246,1.246,1.21,1607,4,314
12.2,0.352,2800,2853.7,0.2,160,36.4,2981,2380,2700,1.1,0.64,0.64,0.83,0.494,720,720,720,1.34,1.34,1.34,1439,4,783
94,0.242,191,238.75,0.278,182,35,2055,2055,1800,1.84,0.44,0.44,0.55,0.427,870,870,540,1.44,1.44,1.272,940,4,224
11.8,0.234,3814,0,0.3,113,42,2095,5340,800,2.82,0.65,0.65,0,0.779,344,0,0,1.218,1.218,0,1034,4,517
41,0.18,180,167.59,0.32,262,48,8800,1849,8000,1.13,0.29,0.29,0.27,0.372,942,942,942,1.715,1.715,1.73,714,4,400
17,0.205,256,258,0.15,228,37,3793,3070,3100,1.22,0.5,0.5,0.5,0.355,900,900,650,1.54,1.54,1.43,878,4,478
39,0.252,20913.66,2008,0.141,148,39,1620,740,1000,1.82,1,1,1,0.523,1,1,1,1.28,1.28,1.27,1332,4,1081
227,0.32,580,641.7,0.14,200,29,5265,5150,4500,1.17,0.47,0.47,0.52,0.403,915,915,747,1.457,1.457,1.408,1485,4,882
30,0.29,500,978.72,0.22,1130,32,4750,4750,1700,2.79,0.47,0.47,0.92,0.367,777,777,290,1.43,1.43,1.2,1225,4,762
62,0.158,140,120.24,0.39,124,27.4,2082,560,1100,1.895,8.5,6.6,7.3,0.612,0,73,0,1.084,1.075,1.072,694,4,271
250,0.24,900,0,0.35,155,36,1511.1,0,100,15.6,1.15,0,0,0.454,600,600,0,1.35,0,0,977,4,448
