h,POROSITY,K,k/uob,Sw,T,API,PI,Bo,Pep,Pb/Pa,Uoi,Ubp,Uoa,Uw,Rsi,Rsb,Rsa,Bol,Bob,Boa,OOIP,OO/Pcsic,REC
119.0,0.125,154.20,30.84,0.245,100.0,33.4,1700.0,1700.0,50.0,34.00,5.00,5.00,7.00,0.898,420.0,420.0,0.0,1.220,1.245,1.000,917,917.00,159
47.0,0.116,58.00,73.42,0.150,155.0,38.0,3000.0,2660.0,500.0,5.32,0.82,0.49,1.82,0.530,520.0,520.0,130.0,1.260,1.220,1.120,655,645.49,100
53.0,0.158,10.90,13.80,0.150,155.0,37.0,3000.0,2660.0,400.0,6.65,0.82,0.49,1.94,0.530,520.0,520.0,108.0,1.260,1.260,1.114,606,599.01,49
36.8,0.116,56.00,39.72,0.361,146.0,40.0,1678.0,678.0,100.0,6.78,1.41,1.41,3.00,0.665,456.0,456.0,75.0,1.303,1.260,1.147,599,599.22,94
24.1,0.140,2.90,7.44,0.383,158.0,42.0,2816.0,2816.0,600.0,4.60,0.39,0.39,1.00,0.503,990.0,980.0,443.0,1.480,1.303,1.267,375,375.17,98
7.0,120.000,49.00,16.33,0.250,160.0,36.0,3250.0,600.0,150.0,4.00,2.70,2.70,3.00,0.419,100.0,100.0,70.0,1.170,1.480,1.050,696,678.83,163
12.0,0.130,19.00,6.33,0.300,160.0,36.0,3250.0,600.0,150.0,4.00,2.70,2.70,3.00,0.419,100.0,100.0,70.0,1.170,1.170,1.100,592,434.45,133
28.0,0.130,56.00,14.00,0.160,205.0,24.0,3400.0,750.0,65.0,8.82,4.50,4.50,4.00,0.347,50.0,50.0,25.0,1.084,1.084,1.000,762,827.00,60
23.0,0.116,5.00,3.13,0.450,156.0,35.0,2200.0,460.0,100.0,4.62,1.40,1.40,2.50,0.450,90.0,70.0,10.0,1.088,1.088,1.105,510,501.99,79
37.0,0.179,50.00,32.05,0.170,205.0,33.0,3280.0,876.0,85.0,7.95,1.92,1.92,1.60,0.362,78.0,78.0,32.0,1.095,1.095,1.100,677,668.70,103
21.0,0.340,26.00,50.00,0.499,124.0,49.7,3000.0,1650.0,1000.0,1.65,0.63,0.63,0.62,0.580,1260.0,1260.0,610.0,1.460,1.480,1.420,471,457.72,92
15.0,0.325,500.00,25.00,0.300,100.0,20.4,350.0,350.0,30.0,11.07,20.00,20.00,45.00,0.773,500.0,500.0,25.0,1.160,1.160,1.010,1600,1591.73,406
18.5,0.769,288.00,28.80,0.333,110.0,21.0,820.0,800.0,100.0,8.00,10.00,10.00,25.00,0.690,250.0,250.0,50.0,1.100,1.100,1.010,1530,1528.85,738
10.6,0.320,98.00,188.46,0.450,190.0,41.0,2130.0,2130.0,200.0,10.65,0.52,0.52,0.79,0.355,540.0,540.0,75.0,1.284,1.284,1.112,893,893.85,344
13.0,0.153,460.00,115.00,0.260,138.0,25.0,1825.0,1825.0,100.0,10.25,4.00,4.00,5.00,0.555,270.0,270.0,18.0,1.129,1.129,1.040,1620,1627.19,655
