h,POROSITY,K,SORT(k/POR),kUwi/Uoi,Sw,T,API,PI,Bp,Pep,PVPa,Uoi,Ubp,Uoa,Uw,Rsi,Rsb,Rsa,BoJ,Bob,Boa,OOIP,REC,OOIPCALC
35.0000,0.2950,454.0000,39.2300,567.5000,0.4300,177.0000,38.0000,3500.0000,3500.0000,1800.0000,1.9400,0.4800,0.4800,0.6000,0.3381,880.0000,880.0000,720.0000,1.4000,1.4000,1.2000,1032.0000,892.0000,931.7910
8.0000,0.3100,795.0000,50.6400,939.5500,0.5300,163.0000,35.0000,3500.0000,3500.0000,2000.0000,1.7500,0.4400,0.4400,0.5200,0.4400,880.0000,880.0000,750.0000,1.1600,1.1600,1.2500,1537.0000,500.0000,790.4480
41.0000,0.3280,1200.0000,60.4900,1527.2700,0.2500,155.0000,36.0000,1800.0000,1800.0000,800.0000,2.2500,1.1000,1.1000,1.1000,0.4720,394.0000,394.0000,0.0000,1.2000,1.2000,1.1440,1592.0000,77.0000,1591.7180
20.0000,0.3400,583.0000,41.4100,664.3900,0.2400,149.0000,25.0000,235.0000,2325.0000,1900.0000,1.2200,2.3000,2.3000,2.7000,0.5070,200.0000,200.0000,260.0000,1.1800,1.1800,1.1300,1700.0000,750.0000,1728.1610
60.0000,0.3000,1000.0000,57.7400,1027.7800,0.3000,135.0000,25.0000,1980.1000,1960.0000,1850.0000,1.0600,3.6000,3.6000,3.7000,0.5590,251.0000,251.0000,240.0000,1.1000,1.1000,1.0900,1500.0000,950.0000,1467.7300
18.4000,0.3200,1200.0000,61.2400,2000.0000,0.2500,184.0000,40.0000,2400.0000,2490.0000,1800.0000,1.5800,0.3600,0.4000,0.6000,0.3880,600.0000,600.0000,400.0000,1.3440,1.3440,1.2500,1222.0000,907.0000,1385.3570
46.0000,0.2600,2200.0000,91.9900,2200.0000,0.1100,147.0000,21.0000,1985.0000,80.0000,1600.0000,1.9200,22.5000,22.5000,22.5000,0.4720,11.0000,11.0000,11.0000,1.0200,1.0200,1.0200,1800.0000,600.0000,1760.0010
600.0000,0.2750,3000.0000,104.4500,3000.0000,0.1300,168.0000,24.0000,1985.0000,1985.0000,1750.0000,1.1300,4.0000,4.0000,4.0000,0.3920,370.0000,370.0000,0.0000,1.2230,1.2230,1.1210,1530.0000,990.0000,1517.8830
9.0000,0.2900,1000.0000,56.7200,1098.5900,0.2100,178.0000,34.8000,3225.0000,225.0000,2600.0000,1.2400,0.7100,0.7100,0.7800,0.4780,585.0000,585.0000,432.0000,1.9100,1.9100,1.1790,1335.0000,750.0000,1335.3550
13.0000,0.2220,475.0000,46.2600,712.5000,0.2480,131.0000,38.0000,1115.0000,1115.0000,600.0000,1.8600,1.0000,1.0000,1.5000,0.5430,358.0000,0.0000,0.0000,1.2000,1.2000,0.0000,1028.0000,365.0000,1079.2930
